                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6124,                 6.5022,                 1.7228,                0.00101,                    0.5,                 0.0016,                0.00073,                 1.8082,                 6.1187,                 2.3217,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.5275,                 3.0465,                 1.5667,                0.64172,                   0.75,                0.66875,                0.44896,                 1.2435,                 15.255,                 1.7544,             0.00020598,             0.00020598,             0.00020598
                      3,                 1.3811,                 2.0242,                 1.6957,                0.83816,                      1,                  0.995,                0.60358,                 1.2445,                 5.9418,                 1.6406,             0.00030039,             0.00030039,             0.00030039
                      4,                 1.3829,                 1.9408,                 1.7291,                 0.9472,                0.79339,                  0.995,                0.75165,                 1.0237,                 2.7522,                 1.4988,             0.00038325,             0.00038325,             0.00038325
                      5,                 1.2347,                 1.4491,                 1.4111,                0.80104,                      1,                0.95333,                0.43342,                 1.7794,                 3.1788,                 2.2997,             0.00045456,             0.00045456,             0.00045456
                      6,                  1.603,                  1.841,                 1.5613,                0.82581,                0.77436,                 0.8625,                0.45321,                 1.7761,                 1.6491,                 2.2105,             0.00051431,             0.00051431,             0.00051431
                      7,                 1.4098,                 1.3173,                 1.6346,                0.70467,                0.98716,                  0.995,                 0.6377,                 1.2961,                 2.1793,                 1.8164,             0.00056251,             0.00056251,             0.00056251
                      8,                 1.3015,                 1.1428,                 1.4826,                0.91002,                0.98608,                  0.995,                0.59196,                 1.4212,                 1.0896,                 1.8119,             0.00059916,             0.00059916,             0.00059916
                      9,                 1.4102,                 1.1324,                 1.5288,                0.53204,                0.53089,                0.56905,                0.36168,                 1.5545,                 3.2185,                 2.0269,             0.00062426,             0.00062426,             0.00062426
                     10,                 1.6208,                 1.1413,                 1.8646,                0.66744,                  0.425,                0.55657,                0.29735,                 1.5152,                 4.5356,                 2.1789,              0.0006378,              0.0006378,              0.0006378
                     11,                 1.0956,                0.89666,                 1.5471,                0.89751,                0.53575,                0.69002,                0.39045,                 1.7258,                 2.8186,                 2.1517,             0.00063979,             0.00063979,             0.00063979
                     12,                  1.062,                0.75653,                 1.5168,                0.51769,                   0.55,                 0.4456,                0.26909,                 1.8242,                 6.8458,                 2.2334,             0.00063023,             0.00063023,             0.00063023
                     13,                 1.0665,                0.77727,                 1.5691,                0.96194,                  0.875,                0.89778,                0.65888,                 1.1106,                 1.8729,                 1.5105,             0.00060912,             0.00060912,             0.00060912
                     14,                 1.1744,                0.78996,                  1.661,                0.95942,                0.98732,                  0.995,                0.68779,                 1.1935,                 2.6428,                 1.6906,             0.00057646,             0.00057646,             0.00057646
                     15,                 1.1526,                0.72969,                 1.6677,                0.95767,                0.98417,                  0.995,                0.78436,                 1.0567,                 2.0629,                 1.6223,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.1659,                0.68917,                 1.5662,                0.91539,                0.96459,                  0.995,                0.77019,                 1.0444,                 1.7878,                 1.6307,             0.00042925,             0.00042925,             0.00042925
                     17,                0.95804,                0.58854,                 1.4325,                 0.9514,                      1,                  0.995,                0.77064,                 1.0577,                 1.6225,                 1.5692,             0.00034674,             0.00034674,             0.00034674
                     18,                0.99553,                0.58396,                 1.4488,                0.97855,                0.99584,                  0.995,                0.72747,                 1.0971,                0.95997,                 1.5299,             0.00026422,             0.00026422,             0.00026422
                     19,                0.91397,                0.53395,                 1.4178,                0.96391,                      1,                  0.995,                0.72905,                 1.0715,                 0.7675,                 1.4749,              0.0001817,              0.0001817,              0.0001817
                     20,                0.90107,                0.53935,                  1.364,                0.97561,                      1,                  0.995,                0.74599,                 1.0097,                 0.6558,                 1.4253,             9.9187e-05,             9.9187e-05,             9.9187e-05
